,id,data
46,pDSEjaDCtOU,"{2: 0.05846224361177955, 1: 5.041824223658842e-05, 0: 0.00032084335968836364, 3: 0.189953019365188, 4: 0.7454291279935827, 5: 1.3750429700920552e-05, 6: 1.3750429700948308e-05, 7: 0.0037859516443222163}"
47,KN2TTiGpDvM,"{0: 0.004721176873075568, 1: 0.2344166951761888, 2: 0.34970920287375973, 3: 0.044543277454669794, 4: 0.037427300718440026, 5: 0.08142319534724596, 7: 0.0, 8: 0.22169004447485452, 6: 0.0}"
48,KllCrlfLuzs,"{1: 0.03731528649930044, 0: 0.00034861881582903473, 2: 0.0, 3: 0.0, 4: 0.1534227831111617, 5: 0.7933474814469426, 6: 0.013325954235064885}"
49,FruPG2M156w,"{1: 0.017064846416382173, 2: 0.016539774218955028, 3: 0.05946442635862437, 4: 0.3941979522184301, 5: 0.00406930953006035, 6: 0.29102126542399576, 7: 0.0, 8: 0.15581517458650573, 0: 0.00039380414807022035, 9: 0.010107639800472579}"
50,LRYkH-fAVGE,"{1: 0.0409975056887799, 0: 0.0004047785751794611, 2: 0.0, 3: 0.0, 4: 0.7108951076492204, 5: 0.242303737090846, 6: 0.0032054087169613096}"
51,AB60_uUetJs,"{0: 0.01653268618231465, 1: 0.0007583801001061303, 2: 0.00834218110116799, 3: 0.005308660700743206, 4: 0.006218716820870645, 5: 0.011224025481571313, 6: 0.006370392840891952, 7: 0.0042469285605946094, 8: 0.9048991354466858}"
52,i3ZnDRrmFjg,"{0: 0.0736634098144692, 1: 0.0, 2: 0.8598089801295421}"
53,G1-wse8nsxY,"{0: 0.005294740557712559, 1: 0.004147546770208423, 2: 0.00026473702788564705, 3: 0.008118602188492566, 4: 0.003794564066360911, 5: 0.002647370278856198, 6: 0.00397105541828434, 7: 0.0041475467702084485, 8: 0.1742852100247087, 9: 0.7030533003882812, 10: 0.07094952347334985}"
54,O9upVbGSBFo,"{2: 0.05332349153839113, 1: 3.232706367905375e-05, 0: 0.0003663733883610826, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.923896704255858, 8: 0.01637365775337664, 9: 0.004310275157190402}"
55,waYr2J15uUc,"{6: 0.14954204829308923, 5: 0.010824313072439806, 3: 0.20849292256452975, 2: 0.04862614487926731, 0: 0.06661115736885936, 1: 0.06611157368859286, 4: 0.15520399666944212, 7: 0.20882597835137384, 8: 0.0, 9: 0.0023313905079100916, 10: 0.01765195670274755}"
56,kxi-_TT_-Nc,"{1: 0.041022805647547136, 0: 0.00026219939694138716, 2: 0.0, 3: 5.699986890032871e-06, 4: 0.0, 5: 0.32480805294147774, 6: 0.6250605623607063, 7: 2.8499934450088027e-05, 8: 0.0064238852250639855}"
57,a-zEbokJAgY,"{2: 0.3629256249357063, 6: 0.0102870075095155, 9: 0.10328155539553542, 3: 0.25069437300689246, 4: 0.1495730891883547, 0: 0.005349243904947953, 1: 0.004526283304186585, 7: 0.01759078284127147, 8: 0.026540479374549952, 5: 0.02777492027569184}"
58,llh-2pqSGrs,"{1: 0.09147614154518029, 0: 0.000594053047331497, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.9056499261447564}"
59,DEqXNfs_HhY,"{9: 0.09623655913978489, 10: 0.01155913978494623, 8: 0.21881720430107474, 7: 0.2403225806451615, 6: 0.23172043010752677, 5: 0.028225806451612878, 4: 0.004838709677419395, 3: 0.007795698924731198, 2: 0.02123655913978506, 1: 0.0008064516129031585, 0: 0.0008064516129032695}"
60,conRTnUBrms,"{0: 0.007958146046717319, 1: 0.0002947461498784181, 2: 7.368653746953058e-05, 3: 0.006779161447203585, 4: 0.004052759560828215, 5: 0.004273819173236955, 6: 0.0030948345737233556, 7: 0.9560091371306463}"
61,3t06ajvBtl0,"{1: 0.018766743670258504, 2: 0.026208887228931152, 0: 0.00032276954715435013, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.40736744546347387, 8: 0.5285674104199225, 9: 0.0044772747183838835, 10: 0.010185684709484444}"
62,_hni6uuorKk,"{9: 0.9500481731268066, 8: 0.004372637663973909, 7: 0.0, 6: 0.0, 5: 0.0, 4: 0.0, 3: 0.0, 2: 0.0, 1: 0.0}"
63,k8Zomsf3uBI,"{0: 0.0013556092914194782, 1: 9.770157055268252e-05, 2: 7.327617791438477e-05, 3: 0.0010869299723993582, 4: 0.9582692166776583, 5: 0.0004152316748491716, 6: 0.030189785300798768, 7: 0.0056178403067829175}"
64,9LQffCdHHlQ,"{1: 0.07108598376249294, 0: 0.0006698641515501952, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.9256808052660254}"
65,1bEtau-QUTo,"{9: 0.3755683540466807, 10: 0.008487420430433434, 8: 0.45286450439527137, 7: 0.0, 6: 0.0, 5: 0.0, 4: 0.0, 3: 0.0, 2: 0.03000909366474691, 1: 0.0281903607153684, 0: 0.00030312215822980715}"
66,pXEl0R1BX-g,"{9: 0.9573217975206613, 10: 0.0007102272727271819, 8: 0.00219524793388437, 7: 0.0, 6: 0.0, 5: 0.0, 4: 0.008006198347107363, 3: 0.0020661157024792765, 2: 0.004713326446280752, 1: 0.00025826446280996507, 0: 0.00025826446280996507}"
67,gaMz3JGuA5E,"{0: 0.006662886305642201, 1: 0.00017720442302232488, 2: 0.09498157074000563, 3: 0.6971576410547209, 4: 0.18808477459597397, 5: 0.0008505812305075189, 6: 0.002020130422455302, 7: 0.0016302806918061519}"
68,naed4C4hfAg,"{1: 0.03962114274438773, 0: 0.00040476202522667093, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.9182633685307642, 7: 0.02024316078665489, 8: 0.01582113566105242, 9: 0.004118453606682615, 2: 0.0}"
69,0lAYQWM0aHk,"{0: 0.0025464784066911677, 1: 0.00012421845886288448, 2: 0.1457496583992384, 3: 0.009482009026541428, 4: 0.8176058962361807, 5: 0.00043476460602041335, 6: 0.017142147323092233, 7: 0.0008695292120409759}"
70,7vtaNGn6KK8,"{0: 0.006863751824028581, 1: 0.10836080635572617, 2: 0.0016213586985892592, 3: 0.863427552288818, 4: 0.0012970869588715406, 5: 0.0023779927579310467, 6: 0.003188672107225843}"
71,4X2xYyIk5x0,"{0: 0.00791148652667898, 1: 0.10969008387365439, 2: 0.861102849324847, 3: 0.002379394444113947, 4: 0.002438879305216801}"
72,OpSmCKe27WE,"{1: 0.011222685586204982, 2: 0.12502790602145017, 0: 0.0003638945197037991, 3: 0.04470544636239415, 4: 0.8120049471794824, 5: 1.785985372781962e-05, 6: 0.002964735718814504, 7: 8.92992686390981e-06, 8: 0.001926631720886196}"
