,id,top_words
100,CzqONHtFiHQ,"['spinner', 'simul', 'authent', '5g', 'largemouth', 'toyota', 'bass', 'ottawa', 'tom', 'portag']"
101,17pIBFcGB0k,"['lumberjack', 'brawni', 'syphili', 'tiger', 'movi', 'gillett', 'china', 'teacher', 'manson', 'nazi']"
102,mrNZUaaaEtI,"['biden', 'sue', 'comanch', 'owen', 'roy', 'almond', 'smith', 'notebook', 'kanji', 'viru']"
103,IXFlwSr5u_k,"['rza', 'corona', 'ambergri', 'viru', 'whale', 'mask', 'sperm', 'yo', 'flu', 'joe']"
104,J36xPWBLcG8,"['manson', 'vinc', 'mkultra', 'rubi', 'parol', 'milkman', 'melcher', 'helter', 'cointelpro', 'skelter']"
105,98mh3jxcuxI,"['eminem', 'dog', 'movi', 'reschedul', 'pant', 'toilet', 'lacroix', 'deer', 'trump', 'viru']"
106,ig9yh8iVZWI,"['cruis', 'vaccin', 'viru', 'antibodi', 'pandem', 'china', 'ventil', 'hpv', 'carniv', 'mortgag']"
107,cF7_AaY9tCg,"['quarantin', 'quinin', 'rattlesnak', 'fight', 'coronaviru', 'toni', 'corona', 'howard', 'stern', 'rope']"
108,TOiTI5LrCSA,"['nazi', 'liber', '5g', 'ideolog', 'abort', 'speech', 'viru', 'moral', 'autocrat', 'corona']"
109,g4OJooMbgRE,"['viru', 'mask', 'virus', 'nerd', 'coronaviru', 'flu', 'infect', 'sauna', 'hendrix', 'guitar']"
110,B-DiuM5KsPM,"['medicar', 'price', 'socialist', 'suppli', 'insur', 'health', 'victimhood', 'ppe', 'ventil', 'coronaviru']"
111,wf0_nMaQ6tA,"['kayfab', 'telomer', 'protractor', 'mask', 'einstein', 'ruler', 'laboratori', 'particl', 'castrati', 'theori']"
112,W8ASnyzZ534,"['python', 'chicken', 'flu', 'coyot', 'vaccin', 'hawk', 'baboon', 'eagl', 'corona', 'italian']"
113,Q9Q53KWZFMU,"['viru', 'vaccin', 'sar', 'teleconfer', 'hypertens', 'epidem', 'infect', 'respiratori', 'chloroquin', 'antibodi']"
114,iS3te7kM6DY,"['flu', 'viru', 'keyboard', 'bidet', 'vr', '3.7', 'corona', 'tana', 'dye', 'godzilla']"
115,fy29eXpK0TM,"['lion', 'timeout', 'wolv', 'porn', 'evergreen', 'scar', 'oar', 'sword', 'duel', 'crossbow']"
116,Xb-g4cACOEc,"['ibuprofen', 'ambien', 'wake-up', 'hoboken', 'cbd', 'movi', 'tk', 'xanax', 'corona', 'immun']"
117,e4Xx24EqAFU,"['viru', 'pangolin', 'spanish', 'coronaviru', 'prion', 'hog', 'connor', 'diseas', 'asymptomat', 'cannib']"
118,Q0V6KIZiXco,"['dog', 'cat', 'push-up', 'puppi', 'depp', 'battleship', 'kevin', 'sketchi', 'hart', 'pet']"
119,OlFJm2wK7eo,"['dive', 'frito', 'balut', 'judo', 'speedo', 'pedro', 'cup', 'militari', 'shark', 'seal']"
120,r4iO0GpgnlQ,"['robot', 'rabi', 'goggin', 'flute', 'idea', 'divin', 'multivers', 'boredom', 'chin-up', 'diseas']"
121,Xd1IF8_FKBo,"['car', 'automot', 'bronco', 'hemp', 'engin', 'bmw', 'motor', 'lotu', 'gto', 'toroid']"
122,UL3RvjhFu_s,"['indian', 'tribe', 'nativ', 'repatri', 'item', 'tribal', 'sovereign', 'indigen', 'oklahoma', 'nation']"
123,qE8XryTeSnI,"['kevin', 'scam', 'bj', 'slap', 'flu', 'fight', 'kron', 'oliveira', 'lee', 'corona']"
124,gzUuvAa2jPY,"['multiplay', 'quak', 'doom', 'game', 'vr', 'single-play', 'demon', 'carmack', 'electrolyt', 'turkish']"
125,ack8IjOdo3c,"['demon', 'bat', 'mm-hmm', 'homeopathi', 'rabbit', 'brain', 'berenson', 'spanish', 'diseas', 'languag']"
126,jUiUUCt_TWg,"['toad', 'rugbi', 'session', 'cane', 'australia', 'train', 'fight', 'zealand', '214', 'obvious']"
127,E3URhJx0NSw,"['vaccin', 'viru', 'lyme', 'infect', 'diseas', 'flu', 'deer', 'infecti', 'prion', 'probiot']"
128,eDzGRT06er0,"['ferrari', 'bruce', 'refere', 'lebel', 'knee', 'flip-flop', 'marathon', 'cartilag', 'redhead', 'mc1r']"
129,DETj3ncN19g,"['freakonom', 'vape', 'economist', 'polio', 'shep', 'smoker', 'nicotin', 'cigarett', 'nuclear', 'sponsor']"
130,NaPKrZTUoUs,"['vape', 'mtv', 'advertis', 'linux', 'tobacco', 'reindeer', 'gopher', 'mushroom', 'austin', 'download']"
131,PhRRq6SXSB8,"['gari', 'hendrix', 'poker', 'song', 'guitar', 'vr', 'play', 'austin', 'spiker', 'hexagram']"
132,E3nSqQhlCmA,"['bear', 'hunt', 'civet', 'grizzli', 'cat', 'coffe', 'rifl', 'andi', 'dud', 'bow']"
133,bYmfnvCbqzY,"['berni', 'golf', 'furi', 'tyson', 'sander', 'dvd', 'spanish', 'deont', 'lightn', 'tax']"
134,9-z0kglwpwo,"['therapi', 'stem', 'cell', 'parkinson', 'age', 'tastier', 'clinic', 'crispr', 'optimist', 'artifici']"
135,A1Q4vhC4Ink,"['audit', 'stand-up', 'deont', 'comic', 'comedi', 'malcolm', 'jordan', 'russel', 'notebook', 'kimber']"
136,kISlB3pjGRU,"['felder', 'hooker', 'fight', 'zealand', 'round', 'tyson', 'toni', 'furi', 'heavyweight', 'khabib']"
137,UAx1Sq6usRg,"['ashram', 'yoga', 'krishna', 'mantra', 'india', 'vedic', 'monk', 'karma', 'dharma', 'yogi']"
138,4H_5J4qcij4,"['antarctica', 'kite', 'row', 'rowboat', 'drake', 'boat', 'compart', 'ocean', 'sled', 'unsupport']"
139,r4wQsmAtZoc,"['particl', 'quantum', 'yield', 'graviti', 'repuls', 'proton', 'entropi', 'cosmolog', 'equat', 'mathemat']"
140,yTCgRIA0RYo,"['fight', 'eleph', 'fighter', 'tiger', 'round', 'train', 'thai', 'rank', 'wolv', '125']"
141,6SLVjWbER4M,"['singapor', 'china', 'darrel', 'hong', 'chines', 'asian', 'arab', 'govern', 'mock', 'kong']"
142,15Ff4I6qsfU,"['fight', 'deont', 'pacquiao', 'fighter', 'furi', 'box', 'canelo', 'kovalev', 'wilder', 'joshua']"
143,_TStVaAMT3U,"['lesbian', 'mushroom', 'glyphos', 'kendal', 'facetim', 'coin', 'cologn', 'gay', 'kyli', 'decrimin']"
144,auslk18GgIE,"['trevor', 'fight', 'mushroom', 'zilla', 'fighter', 'train', 'glove', 'rashad', 'gile', 'dmt']"
145,3RG5pXTpLBI,"['spacex', 'spacewalk', 'space', 'shuttl', 'nasa', 'station', 'mar', 'astronaut', 'rocket', 'reusabl']"
146,5ihph3nrgt0,"['comanch', 'stern', 'newark', 'ghost', 'bread', 'radio', 'fruitcak', 'chili', 'bagel', 'bug']"
147,NIxhH85cQMY,"['woke', 'titania', 'uk', 'feminist', 'bigotri', 'nh', 'gay', 'prejudic', 'fascist', 'ideolog']"
148,ZIcQwDkcaWk,"['simul', 'khabib', 'robot', 'self-play', 'autonom', 'fring', 'conor', 'vehicl', 'breakaway', 'tpu']"
149,yXZn2DkrXig,"['osp', 'fight', 'ghana', 'rey', 'klan', 'alamo', 'john', 'jone', 'opi', 'khabib']"
150,DEWgei2u6vM,"['rat', 'pigeon', 'patina', 'tran', 'chlamydia', 'transgend', 'horni', 'women', 'manuel', 'koala']"
151,oGTQ0Wj6yIg,"['klan', 'nighthawk', 'confederaci', 'kelli', 'klansmen', 'clan', 'klux', 'darrel', 'charlottesvil', 'black']"
152,nZ7j2KFd0D4,"['scan', 'approv', 'bellat', 'cavern', 'fight', 'doctor', 'oklahoma', 'commiss', 'oma', 'brazil']"
153,QtIa_UQ09Ko,"['lyme', 'fight', 'marlon', 'connor', 'tick', 'hernia', 'diseas', 'ufc', 'bj', 'jersey']"
154,hIQTPo262rQ,"['fight', 'connor', 'peanut', 'tyson', 'chocol', 'boxer', 'rashad', 'dana', 'counselor', 'chiropractor']"
155,8zkXLwBnORg,"['fight', 'patricio', 'bellat', 'fighter', 'sport', 'strikeforc', 'ufc', 'mma', 'connor', 'cyborg']"
156,vPDRlhgblZg,"['comedi', 'boston', 'gavin', 'club', 'donovan', 'sweeney', 'mic', 'lenni', 'halloween', 'punchlin']"
157,XiWYB_xTd9k,"['shin', 'fight', 'detriment', 'thai', 'develop', 'motiv', 'gym', 'learn', 'farther', 'stepmom']"
158,74TaVlSuipo,"['strongman', 'strongest', 'contest', 'deadlift', 'grip', 'gay', 'lift', 'arnold', 'event', 'gym']"
159,nL-YwrjKqZU,"['jew', 'anti-semit', 'jewish', 'israel', 'palestinian', 'zionist', 'berni', 'synagogu', 'comanch', 'nativ']"
160,wQ0GD9SpH_o,"['hyperson', 'sulemani', 'rabi', 'iran', 'shiit', 'cardigan', 'iranian', 'missil', 'bat', 'huawei']"
161,-KQGZa773sI,"['chaplin', 'penguin', 'divorc', 'hitchcock', 'rougher', 'charli', 'mcqueen', 'corden', 'comic', 'porn']"
162,amx14K9N5CY,"['131', 'elizabeth', 'warren', 'trump', 'jamaican', 'pig', 'berni', 'copyright', 'nativ', 'peg']"
163,d5XTDmm0KUQ,"['ironman', 'thunder', 'sherlock', 'lasix', 'hulk', 'tropic', 'marvel', 'eyesight', 'beatti', 'doolittl']"
164,RGLgfGT032s,"['mongolia', 'yangtz', 'madagascar', 'gobi', 'china', 'bear', 'congo', 'tent', 'kilogram', 'expedit']"
165,6iYxbRZ21bw,"['subaru', 'mitsubishi', 'gt500', 'duran', 'car', 'mustang', 'priest', 'shelbi', 'gt', 'conor']"
166,xPBejhoKlb8,"['cartel', 'mexico', 'sinaloa', 'mexican', 'chapo', 'fentanyl', 'border', 'tijuana', 'region', 'govern']"
167,83ysf_GO2aw,"['salvia', 'museum', 'octopu', 'blah', 'mushroom', 'parasit', 'unabomb', 'horn', 'reindeer', 'keyboard']"
168,joGS1O-Uto4,"['trump', 'tio', 'iran', 'decaf', 'eagl', 'ski', 'espresso', 'gatorad', 'gab', 'wolf']"
169,_IBDvROmdGU,"['dmt', 'fart', 'oliv', 'solo', 'tyson', 'waterboard', 'egypt', 'invis', 'garden', 'aneurysm']"
170,H4gdLhOp3OE,"['tom', 'mercer', 'slater', 'todd', 'kelli', 'ralphi', 'octob', 'bert', 'norm', 'spanish']"
171,cyj5AfaJfVo,"['huawei', 'wilbur', 'grillo', 'opium', 'turkey', 'tattoo', 'album', 'stallon', 'theater', 'merri']"
172,tCRjz1fyOE4,"['octopu', 'tortois', 'thylacin', 'baboon', 'shark', 'crocodil', 'extinct', 'squid', 'orca', 'bear']"
173,4N2FjjLAS6E,"['fight', 'surf', 'holloway', 'rematch', 'undef', 'aldo', 'hawaiian', 'hiker', 'ufc', 'hawaii']"
174,whRVyywTov4,"['plastic', 'ocean', 'interceptor', 'diamond', 'carbon', 'river', 'technolog', 'incentiv', 'patch', 'cleanup']"
175,4ZamJraVSxo,"['raider', '3-seri', 'coca', 'upperclassmen', 'coke', 'comedi', 'women', 'lime', 'comic', 'straw']"
176,HKa6m9HpWUU,"['buffalo', 'trillion', '2.3', 'koala', 'colbi', 'bison', 'youngstown', 'mancini', 'ticket', 'obelisk']"
177,Rm0GNWSKzYs,"['lifter', 'mitochondria', 'kettlebel', 'fiber', 'train', 'strength', 'crossfit', 'rep', 'barbel', 'overload']"
178,UYp5KoDc3mE,"['roach', 'ai', 'shroom', 'bahama', 'moon', 'pig', 'snoop', 'tubman', 'emoji', 'tourist']"
179,Iq8Ss9yg6bo,"['comanch', 'tribe', 'indian', '1830', 'ranger', 'hors', 'parker', 'plain', 'quanah', 'nativ']"
180,zOT7UCaCJHY,"['syphili', 'wig', 'women', 'sheep', 'tran', 'men', 'joke', 'pig', 'china', 'geyser']"
181,PNocQzhPyac,"['carib', 'moos', 'wolv', 'cabin', 'meat', 'fairbank', 'suppressor', 'alaska', 'wolf', 'lake']"
182,Imi5ODmIckw,"['tesla', 'porsch', 'car', 'horsepow', 'engin', 'ferrari', 'eeve', '911', 'drive', 'interior']"
183,s0zgNY_kqlI,"['b12', 'protein', 'diet', 'studi', 'gram', 'plant-bas', 'dairi', 'endotheli', 'vegan', 'slide']"
184,Frw-IBgu-Qw,"['fight', 'maz', 'joshua', 'cowboy', 'mirko', 'franci', 'connor', 'wilder', 'furi', 'izzi']"
185,ofj3EHrK96U,"['marathon', 'regen', 'pace', 'himalayan', 'salt', 'mile', 'race', 'glucos', 'train', 'run']"
186,GgrspAOucvM,"['fight', 'hickson', 'belt', 'kimura', 'train', 'spar', 'fighter', 'georg', 'sakuraba', 'acl']"
187,PdYud9re7-Q,"['trump', 'tulsi', 'polit', 'polici', 'libya', 'presid', 'countri', 'leadership', 'leader', 'elect']"
188,-0sKkbjQYqw,"['mcchrystal', 'epstein', ""o'reilli"", 'mccain', 'megan', 'kido', 'obama', 'natalya', 'donna', 'barnett']"
189,Dq4Apc2Xk7Q,"['vegan', 'protein', 'diet', 'b12', 'tmao', 'meat', 'soil', 'vegetarian', 'plant-bas', 'livestock']"
190,xCSVI6gfjs8,"['dolphin', 'fish', 'whale', 'cove', 'milk', 'hemp', 'orca', 'ocean', 'mercuri', 'reef']"
