,id,data
74,pRCzZp1J0v0,"{2: 0.7301810427754144, 3: 0.0003484455457044603, 4: 2.084716940099838e-05, 5: 4.467250585953118e-05, 6: 0.2549906634462744, 7: 0.0013729350134169538, 10: 0.00739478880328312, 9: 0.00011019218112018336, 8: 0.0032759837630333966, 1: 0.0}"
75,MdLTWICADhM,"{0: 0.3821529498085771, 1: 0.0006974057957330564, 2: 0.1884012698597195, 3: 0.4197947011688834, 4: 0.002437287963211743}"
76,bL5RzI5LyVc,"{0: 0.5853234308977417, 1: 3.4660625214632396e-05, 2: 2.2056761500177186e-05, 3: 0.40685902263338924, 4: 0.00046004102557638434, 5: 0.00232226188938216, 6: 0.0, 7: 0.000727873129507851}"
77,GO_rW0Bvy1I,"{0: 0.00012521951591967627, 1: 0.08106589295258483, 2: 0.5855631060548204, 3: 0.005540200045812108, 4: 0.3207268840192424, 5: 0.0017530732228756007}"
78,j3sT8WpkDco,"{0: 0.4758978854926665, 1: 2.6004130941962016e-05, 2: 3.7148758488597265e-05, 3: 2.228925509313614e-05, 4: 3.343388263974808e-05, 5: 0.5125897142517502, 6: 0.004937070003120464}"
79,mi5OlUE3BLc,"{2: 0.002996793431028714, 3: 0.6626629506428131, 4: 0.005016632203542254, 5: 1.1987173724098508e-05, 6: 4.1955108034575034e-05, 7: 0.0001678204321374169, 8: 0.0022895501813061632, 9: 0.3096047229464469, 10: 0.007246246516227198, 1: 0.0}"
80,LimytC6bNZ0,"{0: 0.00023597212205408747, 1: 0.0, 2: 0.0007810344884888226, 3: 0.04170391813429125, 4: 0.4072646178082523, 5: 0.5217875386778259, 6: 0.018309442540787695, 7: 0.0037190535856130302}"
81,vUw8dqDHcB4,"{0: 0.0004109225210597792, 1: 0.7211840582106854, 2: 0.0005863162800487582, 3: 0.0002906525148959835, 4: 0.26558624111129503, 5: 0.0017689713406596752, 6: 0.002866435146904711}"
82,KqXYKjkVf9Q,"{1: 0.15813556207952054, 2: 0.7807387543049693, 3: 0.03433030112310333, 4: 0.018750317619786724, 5: 0.0, 7: 0.00040655332689623624, 6: 0.0, 0: 0.005187464084531412}"
83,eA9Tpf5Uuxs,"{0: 0.00033721413438153564, 1: 0.0, 2: 0.31304030901077173, 3: 0.4102533534072259, 4: 5.4499254041213095e-05, 5: 0.2659802031459697, 6: 0.00036786996477977674}"
84,Mcle87Uvh8Y,"{0: 0.45288163381687274, 1: 0.00377445913675739, 2: 0.00031721139109682053, 3: 0.49821791353316514, 4: 0.021388601774957876, 5: 0.00982286060519651, 6: 0.002837081655201995, 7: 0.0045799622197668505}"
85,TxEZcP5hmP8,"{0: 0.2962631384716312, 1: 0.010685045719830998, 2: 0.0023372469690962, 3: 0.003560542897366164, 4: 0.5711356833372055, 5: 0.08514208001312068, 6: 0.025760972076048938}"
