,id,title,number,published,guests,main,likes,dislikes,commentCount
102,2LQFV0ct3X8,Joe Rogan Experience #1475 - Bridget Phetasy,1475.0,2020-05-16T19:00:00Z,Bridget Phetasy,True,18412,4939,8121
103,4_ZJ8YDOX6g,Joe Rogan Experience #1474 - Dr. Rhonda Patrick,1474.0,2020-05-14T19:00:00Z,Dr. Rhonda Patrick,True,49332,3146,12909
104,EToUmoEYGuU,Joe Rogan Experience #1473 - Tom Papa,1473.0,2020-05-13T19:00:04Z,Tom Papa,True,20769,2557,7379
105,KdDPhoyypcg,Joe Rogan Experience #1472 - Michael Yo,1472.0,2020-05-12T19:00:06Z,Michael Yo,True,28517,4686,11799
106,kyX2HaJSIco,JRE MMA Show #95 with Brendan Schaub,95.0,2020-05-08T19:00:16Z,,False,26738,7771,11292
107,wKaySfPomOI,Joe Rogan Experience #1471 - Tony Hinchcliffe,1471.0,2020-05-07T19:00:17Z,Tony Hinchcliffe,True,17333,2171,5246
108,RcYjXbSJBN8,Joe Rogan Experience #1470 - Elon Musk,1470.0,2020-05-07T16:00:21Z,Elon Musk,True,416338,15941,86615
109,EATOIfG2ISk,Joe Rogan Experience #1469 - Adam Perry Lang,1469.0,2020-05-05T19:00:04Z,Adam Perry Lang,True,12923,5482,5645
110,2cOnu-HMmUk,Joe Rogan Experience #1468 - Alonzo Bodden,1468.0,2020-05-01T19:00:00Z,Alonzo Bodden,True,17076,2426,6760
111,Ra4522ikFoU,Joe Rogan Experience #1467 - Jack Carr,1467.0,2020-04-30T19:00:16Z,Jack Carr,True,23962,2115,4817
112,sqsBfhCbMjw,Joe Rogan Experience #1466 - Jessimae Peluso,1466.0,2020-04-29T19:02:44Z,Jessimae Peluso,True,24305,3775,8670
113,Cs_mDpIkUOY,Joe Rogan Experience #1465 - Tim Pool,1465.0,2020-04-28T05:00:08Z,Tim Pool,True,104306,11067,41004
114,4YqZ08GxV1c,Joe Rogan Experience #1464 - Duncan Trussell,1464.0,2020-04-25T19:00:00Z,Duncan Trussell,True,47714,2583,11065
115,CzqONHtFiHQ,Joe Rogan Experience #1463 - Tom Green,1463.0,2020-04-24T19:05:23Z,Tom Green,True,46234,3242,15194
116,17pIBFcGB0k,Joe Rogan Experience #1462 - Kurt Metzger,1462.0,2020-04-23T19:00:01Z,Kurt Metzger,True,19531,2344,6029
117,mrNZUaaaEtI,Joe Rogan Experience #1461 - Owen Smith,1461.0,2020-04-22T19:00:11Z,Owen Smith,True,15219,3562,7342
118,IXFlwSr5u_k,Joe Rogan Experience #1460 - Donnell Rawlings,1460.0,2020-04-17T19:00:05Z,Donnell Rawlings,True,31702,3462,9574
119,J36xPWBLcG8,Joe Rogan Experience #1459 - Tom O'Neill,1459.0,2020-04-16T19:00:08Z,Tom O'Neill,True,57128,2349,11428
120,98mh3jxcuxI,Joe Rogan Experience #1458 - Chris D'Elia,1458.0,2020-04-15T19:00:07Z,Chris D'Elia,True,69879,4386,15910
121,ig9yh8iVZWI,Joe Rogan Experience #1457 - Tim Dillon,1457.0,2020-04-14T19:00:10Z,Tim Dillon,True,32046,3558,13863
122,cF7_AaY9tCg,JRE MMA Show #94 with Brendan Schaub,94.0,2020-04-10T19:00:08Z,,False,30329,4850,10691
123,TOiTI5LrCSA,Joe Rogan Experience #1456 - Michael Shermer,1456.0,2020-04-09T19:00:07Z,Michael Shermer,True,16413,3332,8121
124,g4OJooMbgRE,Joe Rogan Experience #1455 - Lex Fridman,1455.0,2020-04-08T19:00:15Z,Lex Fridman,True,38633,4388,14700
125,B-DiuM5KsPM,Joe Rogan Experience #1454 - Dan Crenshaw,1454.0,2020-04-07T19:00:02Z,Dan Crenshaw,True,47087,12836,31623
126,wf0_nMaQ6tA,Joe Rogan Experience #1453 - Eric Weinstein,1453.0,2020-04-03T19:00:30Z,Eric Weinstein,True,80610,9390,26507
127,W8ASnyzZ534,Joe Rogan Experience #1452 - Greg Fitzsimmons,1452.0,2020-04-02T19:00:12Z,Greg Fitzsimmons,True,21948,1968,6339
128,Q9Q53KWZFMU,Joe Rogan Experience #1451 - Dr. Peter Hotez,1451.0,2020-04-01T19:00:06Z,Dr. Peter Hotez,True,44284,3606,12857
129,iS3te7kM6DY,Joe Rogan Experience #1450 - Brian Redban,1450.0,2020-03-31T19:00:10Z,Brian Redban,True,20925,1914,8292
130,fy29eXpK0TM,Joe Rogan Experience #1449   Bryan Callen,1449.0,2020-03-27T19:00:13Z,Bryan Callen,True,30354,2859,8363
131,Xb-g4cACOEc,Joe Rogan Experience #1448 - Joey Diaz,1448.0,2020-03-26T19:00:07Z,Joey Diaz,True,79056,3909,16906
132,e4Xx24EqAFU,Joe Rogan Experience #1447 - Tom Segura,1447.0,2020-03-25T19:00:08Z,Tom Segura,True,49681,2926,9893
133,Q0V6KIZiXco,Joe Rogan Experience #1446 - Bert Kreischer,1446.0,2020-03-24T19:00:05Z,Bert Kreischer,True,53048,3499,9882
134,OlFJm2wK7eo,Joe Rogan Experience #1445 - Andy Stumpf,1445.0,2020-03-21T19:00:04Z,Andy Stumpf,True,35110,2138,8164
135,r4iO0GpgnlQ,Joe Rogan Experience #1444 - Duncan Trussell,1444.0,2020-03-19T19:00:11Z,Duncan Trussell,True,96334,4691,22076
